0	1081.777752	1.083239	1.178696
1	3225.050192	1.053354	1.219535
2	5341.840883	1.034156	1.249808
3	7432.217277	1.019331	1.275833
4	9496.247900	1.007052	1.299438
5	11534.002506	0.996486	1.321459
6	13545.552203	0.987173	1.342361
7	15530.969537	0.978824	1.362433
8	17490.328554	0.971247	1.381872
9	19423.704825	0.964305	1.400817
10	21331.175438	0.957895	1.419374
11	23212.818958	0.951942	1.437622
12	25068.715355	0.946385	1.455625
13	26898.945901	0.941175	1.473435
14	28703.593033	0.936273	1.491096
15	30482.740183	0.931647	1.508643
16	32236.471575	0.927268	1.526108
17	33964.871996	0.923114	1.543518
18	35668.026525	0.919165	1.560896
19	37346.020234	0.915405	1.578265
20	38998.937863	0.911817	1.595644
21	40626.863448	0.908389	1.613049
22	42229.879931	0.905109	1.630499
23	43808.068731	0.901967	1.648008
24	45361.509280	0.898954	1.665591
25	46890.278533	0.896061	1.683262
26	48394.450441	0.893281	1.701034
27	49874.095396	0.890608	1.718920
28	51329.279636	0.888033	1.736934
